GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1791317608,SushiGo,3,GAME_OVER,60,0,2,40,rhea,45.0,58.0,rhea_test,2,rhea,2,1,1,rhea_test,rhea_test,rhea,0
1375946348,SushiGo,3,GAME_OVER,60,0,2,41,rhea,57.0,44.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
714044006,SushiGo,3,GAME_OVER,62,0,2,42,rhea_test,54.0,72.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
1141736524,SushiGo,3,GAME_OVER,61,0,2,43,rhea_test,57.0,59.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
-68629972,SushiGo,3,GAME_OVER,61,0,2,44,rhea_test,58.0,46.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
268448290,SushiGo,3,GAME_OVER,62,0,2,45,rhea_test,50.0,62.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
-1199211999,SushiGo,3,GAME_OVER,60,0,2,46,rhea_test,59.0,66.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
648115670,SushiGo,3,GAME_OVER,60,0,2,47,rhea_test,56.0,51.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
-1960070630,SushiGo,3,GAME_OVER,60,0,2,48,rhea_test,68.0,49.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
375050126,SushiGo,3,GAME_OVER,60,0,2,49,rhea_test,53.0,54.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
-218109356,SushiGo,3,GAME_OVER,60,0,2,50,rhea_test,59.0,61.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
1504533260,SushiGo,3,GAME_OVER,60,0,2,51,rhea,60.0,64.0,rhea_test,2,rhea,2,1,1,rhea_test,rhea_test,rhea,0
